Curve_date,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23
2012-05-01,9798,5801,3918,2493,2296,4258,13010,21389,25061,24217,21219,20965,21622,20655,22640,21183,18310,22150,27047,28089,27102,27572,26431,20106
2012-05-02,12656,7624,4828,3139,2793,3865,11027,21688,26994,26639,23688,24627,24263,24319,24725,22102,17500,22448,29346,30990,29361,28559,26371,21774
2012-05-03,15805,9143,6681,3825,3034,4023,11903,22539,28016,25438,23720,23949,23815,23794,24821,23002,18576,22590,29281,31114,32042,32313,30704,27231
2012-05-04,20778,12812,9585,6147,4609,4944,11809,23044,28193,27566,25250,24732,24754,23070,24428,22811,19809,24388,30884,34625,33559,31782,31723,30895
2012-05-05,28562,24712,21521,16348,10261,4938,5477,8441,12598,18402,22210,25102,27971,27449,26846,26553,22763,26407,31423,33433,31209,31018,32509,32694
2012-05-06,30730,28346,22717,18398,12122,5799,4757,6030,9140,12706,17241,20364,22755,23496,23791,21268,18945,20749,23005,22327,21174,19550,16904,14468
2012-05-07,10791,6378,4233,2859,2921,4769,12363,21731,25421,23224,19506,18808,19889,19667,21121,21449,19084,25270,30474,30587,27747,25484,23659,17163
2012-05-08,11330,7155,4846,3058,2607,4115,12515,23249,28718,26630,23159,23345,22461,20767,21382,20972,17678,21711,26864,29909,30384,28926,27697,21584
2012-05-09,14262,8590,5434,3383,2911,4456,13590,24503,28079,26953,24588,23982,24502,23530,24971,23043,18975,24080,30727,32735,31189,30207,29526,24677
2012-05-10,17146,10283,6726,4468,3476,4713,12959,23154,26880,25775,23528,23386,24164,23964,24370,22247,16947,20565,28026,31607,30112,30807,27626,26745
2012-05-11,21588,14661,9569,6604,5025,5164,12426,21130,25080,24554,23219,22391,23859,22795,25081,22630,17859,21457,29393,31859,28569,26803,27116,26431
2012-05-12,24657,21971,18317,13696,9021,4917,4702,7593,10590,17384,20694,22739,24617,25123,24244,23550,20257,23292,28584,30008,26917,26331,29106,28710
2012-05-13,27376,25287,21255,16201,10489,5102,4506,6324,9254,14203,19314,22099,23609,23397,23065,21622,19095,20922,23280,22636,21192,20238,19179,15269
2012-05-14,10037,6290,4156,2852,2738,4488,12144,21614,25139,23960,22123,21675,21842,22475,24952,21270,17871,21300,27640,28075,26712,26522,23745,19129
2012-05-15,12957,8014,4884,3084,2667,4424,12764,24663,28336,27351,25202,26357,26269,24290,25188,20889,16228,20607,27066,29398,29011,28838,27150,22859
2012-05-16,15027,9465,6082,4151,3177,4469,12658,23024,27931,27181,24943,24505,25351,24575,24853,22360,17934,21705,28924,31425,30666,29724,27758,25145
2012-05-17,19714,11924,7804,5232,4050,4764,12538,23972,28153,27592,25443,24268,24143,23702,24490,19687,15415,22053,25664,26605,28215,27724,27504,24657
2012-05-18,19149,14602,8665,5505,3951,4035,9537,18703,21305,17848,17909,18171,18096,15825,17264,14205,12756,17032,23635,26365,26096,24664,24889,30036
